Num. Id;Nombre;Precio;Disponibilidad;Autor;BGG;Temática;Si Buscas...;Edad;Núm. jugadores;Tiempo de juego;Medidas;Complejidad;Editorial;Dependencia del idioma;Mecánica;Idioma;ranking
1959;Campos de Arroz;13.45;Disponible;Corry Damey;256705;Comercio;Familiares, Para 2, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2;10 - 15 min.;75 x 110 x 15 mm;Medio;Salt & Pepper Games;Media;Gestión de cartas;Español;7,20985
1960;Secretos Entre Amigos;10.8;Disponible;Arno Steinwender, Markus Slawitscheck;257246;Abstracto;Fiesta, Rápido, Viaje;de 14 a 18 años, más de 18 años;3, 4, 5, 6;20 - 25 min.;130 x 180 x 40 mm;Fácil;Maldito Games;Alta;Preguntas y respuestas;Español;7,36
1961;Strike;19.75;Disponible;Dieter NüBle;123570;Abstracto;Familiares, Rápido;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;15 min.;190 x 275 x 55 mm;Fácil;Ravensburger;Nula (Sólo instrucciones);Tienta la suerte;Español;6,81716
1962;El Guantelete del Infinito;14.99;Disponible;Seiji Kanai;304285;Cómic, Superhéroes;Familiares, Rápido, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;15 min.;115 x 180 x 30 mm;Medio;Z-Man Games;Media;Bazas, Colección de sets, Gestión de cartas;Español;7,20055
1963;El Señor de los Anillos LCG: La Tierra del Pesar / La Venganza de Mordor;14.95;Disponible;;;Espada y Brujería, TV/Series/Cine;Solitario, Para 2;;;;;Medio;Fantasy Flight;Media;Creación de mazo;Español;
1964;Cocorito;17.96;Disponible;;;Animales;Infantil;de 3 a 6 años, de 6 a 8 años, de 8 a 10 años;2, 3, 4;;;Fácil;Ravensburger;Nula (Sólo instrucciones);Colección de sets;Español;
1965;Erizos a la búsqueda de hojas;14.98;Disponible;;;Animales;Infantil;de 3 a 6 años, de 6 a 8 años;2, 3, 4;10 min;;Fácil;Haba;Nula (Sólo instrucciones);Memoria;;
1966;El Señor de los Anillos. Viajes por la Tierra Media: Sendas sombrías;79.95;Disponible;;;Fantasía, TV/Series/Cine;Cooperativo, Solitario, Experiencia, Narrativo, Ameritrash;de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5;60 min;295 x 295 x 790 mm;Medio;Fantasy Flight;Alta;Exploración y Aventura, Gestión de cartas;Español;
1967;El Señor de los Anillos: Viajes por la Tierra Media: Pack de figuras Villanos de Eriador;14.95;No está disponible;;;;;;;;90 x 140 x 65 mm;;Fantasy Flight;Alta;;Español;
1968;El Señor de los Anillos: Viajes por la Tierra Media;99.95;Disponible;Grace Holdinghaus, Nathan I. Hajek;269385;Espada y Brujería, Medieval, TV/Series/Cine;Cooperativo, Solitario, Para 2, Narrativo, Ameritrash;de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5;;298 X 298 X 140 mm;Medio;Fantasy Flight;Media;Exploración y Aventura;Español;8,07241
